x0y0=-0.0180568;-0.999837 | x1y0=0.844221;-0.535995 | x2y0=-0.706629;-0.707584 | x3y0=0.925791;0.378036 | x4y0=-0.876439;-0.481514 | x5y0=-0.740601;-0.671945 | x6y0=0.0462256;0.998931 | x7y0=-0.302784;-0.953059 | x8y0=0.675535;0.737328 | x9y0=-0.705376;0.708833 | x10y0=0.618114;0.786088 | x11y0=-0.653082;-0.757287 | x12y0=-0.795371;-0.606123 | x13y0=0.999986;-0.0052709 | x14y0=-0.848374;-0.529397 | x15y0=0.777971;-0.6283 | x16y0=0.796677;-0.604406 | 
x0y1=-0.601654;0.798757 | x1y1=-0.544359;0.838853 | x2y1=-0.55063;0.834749 | x3y1=0.190171;0.981751 | x4y1=-0.172786;0.984959 | x5y1=-0.991381;-0.131013 | x6y1=-0.710561;0.703636 | x7y1=0.991419;0.130722 | x8y1=0.396697;-0.91795 | x9y1=0.961135;-0.27608 | x10y1=-0.727929;0.685652 | x11y1=-0.378476;-0.925611 | x12y1=0.531422;0.847107 | x13y1=-0.523572;0.851982 | x14y1=0.982845;-0.184433 | x15y1=0.862457;-0.50613 | x16y1=0.906565;0.422066 | 
x0y2=-0.158671;0.987331 | x1y2=-0.504836;0.863215 | x2y2=-0.772279;-0.635283 | x3y2=0.987131;0.159911 | x4y2=0.532253;0.846585 | x5y2=-0.944223;0.329305 | x6y2=-0.89107;0.453866 | x7y2=-0.828746;0.559624 | x8y2=-0.77998;0.625804 | x9y2=0.51511;0.857124 | x10y2=0.859072;-0.511856 | x11y2=-0.96406;-0.265683 | x12y2=-0.577199;0.816603 | x13y2=0.268779;0.963202 | x14y2=-0.302611;-0.953114 | x15y2=0.957453;-0.288588 | x16y2=-0.0984857;-0.995138 | 
x0y3=0.172666;-0.98498 | x1y3=-0.999846;0.0175387 | x2y3=0.136811;-0.990597 | x3y3=-0.66417;-0.747581 | x4y3=0.0313962;-0.999507 | x5y3=0.450504;-0.892774 | x6y3=0.984638;0.174607 | x7y3=-0.939143;0.343526 | x8y3=-0.966793;-0.255562 | x9y3=0.512824;0.858494 | x10y3=0.930794;0.365543 | x11y3=-0.857359;-0.514719 | x12y3=-0.624196;-0.781268 | x13y3=0.990118;-0.140238 | x14y3=-0.67368;-0.739023 | x15y3=0.0459548;-0.998944 | x16y3=-0.177205;0.984174 | 
x0y4=0.41202;0.911175 | x1y4=0.990442;0.137933 | x2y4=0.0394376;-0.999222 | x3y4=0.0885697;-0.99607 | x4y4=-0.367145;0.930164 | x5y4=-0.339344;-0.940662 | x6y4=0.283763;0.958895 | x7y4=0.280337;0.959902 | x8y4=0.523971;-0.851736 | x9y4=0.315446;-0.948943 | x10y4=-0.442149;0.896942 | x11y4=-0.663502;-0.748175 | x12y4=-0.00519753;0.999986 | x13y4=-0.718092;0.695948 | x14y4=-0.998036;0.0626357 | x15y4=0.285423;-0.958402 | x16y4=-0.937536;-0.347889 | 
x0y5=0.0445252;0.999008 | x1y5=0.979861;-0.199683 | x2y5=-0.0726998;0.997354 | x3y5=0.0192011;0.999816 | x4y5=-0.757035;-0.653374 | x5y5=-0.86906;-0.494708 | x6y5=-0.998636;0.052204 | x7y5=0.80702;-0.590524 | x8y5=0.476121;0.87938 | x9y5=-0.227726;-0.973725 | x10y5=0.269321;0.96305 | x11y5=-0.0298006;-0.999556 | x12y5=0.94263;0.33384 | x13y5=0.465919;-0.884827 | x14y5=-0.100528;0.994934 | x15y5=-0.958905;-0.283728 | x16y5=0.649419;0.760431 | 
x0y6=-0.799167;0.601109 | x1y6=0.983305;0.181963 | x2y6=-0.713121;0.701041 | x3y6=-0.357804;-0.933797 | x4y6=0.537914;-0.842999 | x5y6=0.45264;0.891694 | x6y6=-0.967008;0.254746 | x7y6=0.513964;0.857812 | x8y6=0.994731;0.102518 | x9y6=-0.247303;-0.968938 | x10y6=-0.294649;0.955606 | x11y6=-0.89004;0.455882 | x12y6=0.191818;-0.981431 | x13y6=-0.493045;0.870004 | x14y6=0.0751676;-0.997171 | x15y6=0.010876;0.999941 | x16y6=0.956297;-0.292399 | 
x0y7=0.478905;0.877867 | x1y7=0.177771;-0.984072 | x2y7=0.0995314;-0.995034 | x3y7=0.348499;-0.937309 | x4y7=-0.999424;0.0339219 | x5y7=-0.395341;-0.918534 | x6y7=-0.444716;0.895672 | x7y7=0.999021;-0.0442377 | x8y7=-0.559937;0.828535 | x9y7=0.507263;-0.861791 | x10y7=0.953147;-0.302507 | x11y7=0.259048;0.965864 | x12y7=-0.800443;-0.599409 | x13y7=-0.0948263;0.995494 | x14y7=0.900988;0.433844 | x15y7=-0.724693;0.689072 | x16y7=0.773738;0.633506 | 
x0y8=-0.637564;-0.770397 | x1y8=-0.312085;0.950054 | x2y8=0.796055;0.605224 | x3y8=-0.294773;-0.955567 | x4y8=0.726603;-0.687058 | x5y8=-0.931731;0.363149 | x6y8=0.404064;-0.914731 | x7y8=-0.825025;0.565096 | x8y8=-0.860934;0.508716 | x9y8=-0.590816;0.806806 | x10y8=0.94904;-0.315155 | x11y8=0.998874;0.0474383 | x12y8=0.398619;-0.917117 | x13y8=-0.252473;-0.967604 | x14y8=0.94678;-0.321881 | x15y8=0.337472;-0.941336 | x16y8=-0.754229;0.656612 | 
x0y9=-0.861905;-0.50707 | x1y9=-0.331776;-0.943358 | x2y9=0.825885;0.563839 | x3y9=-0.62413;0.78132 | x4y9=-0.966204;-0.257778 | x5y9=-0.821085;-0.570806 | x6y9=-0.851616;0.524166 | x7y9=-0.978182;-0.20775 | x8y9=-0.801106;-0.598522 | x9y9=0.999936;-0.0113304 | x10y9=-0.0163513;0.999866 | x11y9=-0.358791;-0.933418 | x12y9=0.997159;-0.0753291 | x13y9=-0.983342;0.181766 | x14y9=-0.161206;-0.986921 | x15y9=0.957025;0.290004 | x16y9=0.466237;-0.88466 | 
x0y10=0.78258;0.62255 | x1y10=0.997771;0.066724 | x2y10=-0.275189;0.96139 | x3y10=0.550524;0.834819 | x4y10=0.918105;-0.396337 | x5y10=-0.568605;-0.822611 | x6y10=0.30434;0.952563 | x7y10=0.626316;-0.779569 | x8y10=-0.929252;-0.369446 | x9y10=-0.999782;0.0208936 | x10y10=0.568157;0.82292 | x11y10=-0.48994;0.871756 | x12y10=0.0143497;-0.999897 | x13y10=-0.661042;0.750349 | x14y10=0.950072;0.312029 | x15y10=-0.125026;-0.992153 | x16y10=0.966788;0.255578 | 
