x0y0=-0.275334;0.961349 | x1y0=0.943645;0.330959 | x2y0=0.590229;0.807236 | x3y0=0.697686;-0.716404 | x4y0=0.821947;-0.569564 | x5y0=-0.947546;-0.319621 | x6y0=0.255841;-0.966719 | x7y0=-0.184952;0.982748 | x8y0=-0.474198;-0.880418 | x9y0=0.427628;0.903955 | x10y0=-0.619197;-0.785236 | x11y0=0.416991;-0.908911 | x12y0=0.828327;0.560244 | x13y0=0.995234;-0.0975157 | x14y0=-0.0423287;0.999104 | x15y0=-0.436882;0.899519 | x16y0=-0.336834;0.941564 | 
x0y1=0.99974;0.0227868 | x1y1=-0.712894;0.701272 | x2y1=-0.999673;-0.0255617 | x3y1=-0.13175;0.991283 | x4y1=-0.795485;-0.605974 | x5y1=0.725474;0.688249 | x6y1=0.477856;0.878438 | x7y1=0.84072;0.54147 | x8y1=0.575048;0.81812 | x9y1=0.935847;0.352406 | x10y1=-0.974014;0.226486 | x11y1=-0.927964;0.372669 | x12y1=0.996358;-0.0852741 | x13y1=0.716255;0.697839 | x14y1=0.551106;-0.834435 | x15y1=0.0150508;0.999887 | x16y1=0.945907;0.324439 | 
x0y2=-0.590244;0.807225 | x1y2=-0.978604;0.205754 | x2y2=-0.629219;-0.777228 | x3y2=0.544416;0.838815 | x4y2=0.973285;-0.2296 | x5y2=0.982062;0.188556 | x6y2=-0.997953;0.063947 | x7y2=-0.896626;0.442788 | x8y2=-0.854487;0.519473 | x9y2=0.999877;-0.0157056 | x10y2=-0.994611;0.103676 | x11y2=0.751292;-0.65997 | x12y2=0.818257;0.574852 | x13y2=0.655758;-0.754971 | x14y2=-0.888916;-0.45807 | x15y2=0.757716;0.652585 | x16y2=-0.730947;0.682434 | 
x0y3=0.0777154;0.996976 | x1y3=-0.150039;0.98868 | x2y3=0.603168;-0.797614 | x3y3=0.72199;-0.691903 | x4y3=-0.252506;0.967595 | x5y3=0.557951;0.829874 | x6y3=0.780606;0.625023 | x7y3=-0.858273;0.513194 | x8y3=0.802236;0.597008 | x9y3=0.792219;-0.610236 | x10y3=-0.0197988;-0.999804 | x11y3=0.0148008;-0.99989 | x12y3=-0.76425;0.64492 | x13y3=0.870968;-0.491339 | x14y3=0.388519;-0.921441 | x15y3=0.827716;-0.561147 | x16y3=0.983042;-0.18338 | 
x0y4=-0.27131;-0.962492 | x1y4=-0.994679;-0.103027 | x2y4=0.84651;0.532372 | x3y4=-0.707953;-0.70626 | x4y4=-0.98063;0.195868 | x5y4=0.888213;-0.459432 | x6y4=0.512607;-0.858623 | x7y4=0.879164;0.47652 | x8y4=-0.959193;0.282753 | x9y4=-0.125784;-0.992058 | x10y4=0.999854;0.0170856 | x11y4=-0.509056;0.860734 | x12y4=0.998391;-0.056705 | x13y4=-0.921639;0.388048 | x14y4=-0.233119;-0.972448 | x15y4=-0.0287433;-0.999587 | x16y4=0.895491;-0.44508 | 
x0y5=0.886682;0.462379 | x1y5=0.935323;-0.353794 | x2y5=-0.0965244;-0.995331 | x3y5=-0.729042;-0.684468 | x4y5=0.298918;-0.954279 | x5y5=0.805273;-0.592905 | x6y5=-0.645011;-0.764173 | x7y5=0.74065;-0.671892 | x8y5=0.246724;0.969086 | x9y5=0.728823;0.684702 | x10y5=-0.456565;-0.88969 | x11y5=-0.0788807;-0.996884 | x12y5=-0.993942;0.109908 | x13y5=-0.550428;0.834883 | x14y5=-0.808127;0.589009 | x15y5=0.693613;0.720348 | x16y5=-0.999369;0.0355116 | 
x0y6=0.0432301;0.999065 | x1y6=-0.714874;0.699253 | x2y6=0.985671;0.168677 | x3y6=0.207569;-0.97822 | x4y6=-0.716693;0.697389 | x5y6=-0.928435;-0.371494 | x6y6=0.997697;-0.0678319 | x7y6=0.710255;-0.703944 | x8y6=0.769516;-0.638627 | x9y6=-0.444738;-0.895661 | x10y6=-0.995497;-0.094793 | x11y6=0.137468;0.990506 | x12y6=0.311143;-0.950363 | x13y6=0.187756;0.982216 | x14y6=0.971989;0.235025 | x15y6=0.93405;-0.357142 | x16y6=-0.753348;-0.657622 | 
x0y7=0.960817;0.277185 | x1y7=-0.188507;-0.982072 | x2y7=0.999616;-0.027712 | x3y7=-0.600828;0.799378 | x4y7=-0.513529;0.858072 | x5y7=-0.226933;-0.97391 | x6y7=0.794953;0.606671 | x7y7=-0.706426;-0.707786 | x8y7=-0.0199063;0.999802 | x9y7=0.844819;0.535052 | x10y7=-0.167887;0.985806 | x11y7=0.998404;0.0564759 | x12y7=0.748106;0.66358 | x13y7=0.167102;0.98594 | x14y7=-0.538571;-0.84258 | x15y7=0.183096;-0.983095 | x16y7=-0.94078;0.339017 | 
x0y8=-0.0183804;0.999831 | x1y8=0.315487;-0.94893 | x2y8=0.0476126;-0.998866 | x3y8=-0.997738;0.06723 | x4y8=0.74865;0.662965 | x5y8=-0.566844;0.823825 | x6y8=-0.990157;0.139961 | x7y8=0.897646;-0.440716 | x8y8=0.87507;0.483997 | x9y8=0.179104;-0.98383 | x10y8=0.863444;0.504444 | x11y8=-0.79142;0.611273 | x12y8=-0.482623;-0.875828 | x13y8=-0.807589;-0.589746 | x14y8=-0.0909446;0.995856 | x15y8=-0.6996;0.714535 | x16y8=-0.493051;-0.87 | 
x0y9=0.13191;0.991262 | x1y9=-0.989907;0.141717 | x2y9=-0.538002;0.842943 | x3y9=0.987967;-0.154665 | x4y9=-0.654969;-0.755656 | x5y9=-0.634144;0.773215 | x6y9=0.295773;-0.955258 | x7y9=0.92374;-0.38302 | x8y9=1;-0.000124636 | x9y9=0.900614;-0.434619 | x10y9=0.914003;0.405707 | x11y9=0.996255;-0.086459 | x12y9=0.556497;0.830849 | x13y9=-0.746389;0.66551 | x14y9=-0.439187;0.898396 | x15y9=-0.604126;-0.796889 | x16y9=-0.924336;0.38158 | 
x0y10=-0.762759;0.646683 | x1y10=0.653878;-0.7566 | x2y10=-0.833167;-0.553021 | x3y10=0.0295754;-0.999563 | x4y10=0.384246;-0.923231 | x5y10=0.0410753;0.999156 | x6y10=0.838544;-0.544834 | x7y10=-0.910098;-0.414393 | x8y10=-0.353478;-0.935443 | x9y10=-0.295303;-0.955404 | x10y10=0.981994;-0.18891 | x11y10=0.629871;-0.7767 | x12y10=-0.417564;-0.908648 | x13y10=-0.527545;0.849527 | x14y10=-0.36084;-0.932628 | x15y10=-0.913319;0.407245 | x16y10=-0.975526;-0.219883 | 
