x0y0=-0.336834;0.941564 | x1y0=0.955301;0.295636 | x2y0=0.999842;0.0177873 | x3y0=0.486169;-0.873865 | x4y0=-0.594003;0.804463 | x5y0=-0.169993;-0.985445 | x6y0=-0.712369;0.701805 | x7y0=0.552839;-0.833288 | x8y0=-0.606725;0.794912 | x9y0=-0.0837338;0.996488 | x10y0=-0.906001;-0.423275 | x11y0=-0.609332;0.792915 | x12y0=-0.0355718;-0.999367 | x13y0=-0.99412;-0.108285 | x14y0=-0.978148;-0.207909 | x15y0=0.557651;-0.830076 | x16y0=-0.275334;0.961349 | 
x0y1=0.945907;0.324439 | x1y1=0.930719;-0.365735 | x2y1=-0.883361;0.468694 | x3y1=-0.632808;-0.774308 | x4y1=-0.00895875;-0.99996 | x5y1=-0.140634;-0.990062 | x6y1=0.412086;-0.911145 | x7y1=0.232742;-0.972539 | x8y1=0.935556;0.35318 | x9y1=0.994939;0.100483 | x10y1=-0.999981;0.0062243 | x11y1=-0.638302;0.769786 | x12y1=0.0445421;-0.999008 | x13y1=0.226128;0.974098 | x14y1=0.259637;0.965706 | x15y1=0.924668;0.380775 | x16y1=0.99974;0.0227868 | 
x0y2=-0.730947;0.682434 | x1y2=0.192772;0.981243 | x2y2=-0.3222;-0.946672 | x3y2=-0.486137;-0.873883 | x4y2=-0.998446;-0.0557337 | x5y2=-0.997875;0.0651645 | x6y2=0.550968;0.834526 | x7y2=0.0504746;0.998725 | x8y2=0.399021;0.916942 | x9y2=-0.996238;-0.0866636 | x10y2=-0.994531;0.104441 | x11y2=0.374544;-0.927209 | x12y2=0.705153;0.709056 | x13y2=-0.0239875;0.999712 | x14y2=-0.932995;-0.359888 | x15y2=0.755134;-0.65557 | x16y2=-0.590244;0.807225 | 
x0y3=0.983042;-0.18338 | x1y3=-0.996322;0.085688 | x2y3=0.885764;0.464136 | x3y3=-0.995764;-0.091941 | x4y3=0.168374;-0.985723 | x5y3=0.987695;-0.156396 | x6y3=-0.3009;0.953656 | x7y3=0.991041;-0.133557 | x8y3=-0.298599;-0.954379 | x9y3=-0.157519;-0.987516 | x10y3=-0.98773;0.156172 | x11y3=0.931424;-0.363935 | x12y3=-0.558183;0.829718 | x13y3=0.610903;-0.791706 | x14y3=-0.683885;0.72959 | x15y3=0.786262;-0.617894 | x16y3=0.0777154;0.996976 | 
x0y4=0.895491;-0.44508 | x1y4=-0.607523;0.794302 | x2y4=-0.941486;-0.337053 | x3y4=0.816733;-0.577016 | x4y4=0.442825;-0.896608 | x5y4=0.963584;-0.267405 | x6y4=0.615548;0.788099 | x7y4=0.870528;-0.492119 | x8y4=-0.997489;-0.0708188 | x9y4=-0.948993;-0.315296 | x10y4=0.0396547;-0.999213 | x11y4=0.611914;-0.790924 | x12y4=-0.451219;-0.892413 | x13y4=0.878732;0.477315 | x14y4=0.415982;-0.909373 | x15y4=0.967409;0.25322 | x16y4=-0.27131;-0.962492 | 
x0y5=-0.999369;0.0355116 | x1y5=-0.398516;-0.917161 | x2y5=-0.478296;-0.878199 | x3y5=-0.853368;0.521308 | x4y5=-0.864514;0.502609 | x5y5=-0.748146;-0.663534 | x6y5=-0.318277;-0.947998 | x7y5=0.164242;-0.98642 | x8y5=0.11626;0.993219 | x9y5=0.860214;0.509933 | x10y5=-0.641205;0.76737 | x11y5=-0.995645;0.093225 | x12y5=0.752642;-0.65843 | x13y5=0.284913;-0.958554 | x14y5=-0.958865;-0.283864 | x15y5=0.550818;-0.834626 | x16y5=0.886682;0.462379 | 
x0y6=-0.753348;-0.657622 | x1y6=-0.957332;-0.288989 | x2y6=0.896512;0.443019 | x3y6=0.00115901;0.999999 | x4y6=-0.734178;0.678957 | x5y6=0.985344;0.170577 | x6y6=0.182474;0.983211 | x7y6=-0.220721;0.975337 | x8y6=0.985208;0.171363 | x9y6=-0.908096;0.418763 | x10y6=-0.214042;0.976824 | x11y6=-0.97267;0.232191 | x12y6=0.66861;0.743614 | x13y6=0.868948;0.494904 | x14y6=-0.882321;-0.470648 | x15y6=-0.545314;-0.838232 | x16y6=0.0432301;0.999065 | 
x0y7=-0.94078;0.339017 | x1y7=-0.620004;-0.784599 | x2y7=0.120384;-0.992727 | x3y7=-0.62756;0.778569 | x4y7=-0.0643279;-0.997929 | x5y7=-0.838004;0.545664 | x6y7=-0.625899;-0.779904 | x7y7=-0.763603;0.645686 | x8y7=-0.972169;0.234282 | x9y7=0.506328;0.862341 | x10y7=0.0374257;0.999299 | x11y7=-0.797857;-0.602846 | x12y7=-0.961512;-0.274764 | x13y7=0.969072;-0.246778 | x14y7=-0.561942;-0.827177 | x15y7=-0.809089;0.587686 | x16y7=0.960817;0.277185 | 
x0y8=-0.493051;-0.87 | x1y8=-0.468965;0.883217 | x2y8=0.863313;0.50467 | x3y8=-0.931404;0.363986 | x4y8=0.0844381;0.996429 | x5y8=0.884622;-0.466309 | x6y8=0.445482;0.895291 | x7y8=0.927392;0.37409 | x8y8=0.960616;0.277881 | x9y8=-0.437886;0.899031 | x10y8=0.780068;-0.625695 | x11y8=0.0942194;0.995551 | x12y8=0.96836;0.249557 | x13y8=-0.800067;0.599911 | x14y8=0.910327;-0.41389 | x15y8=0.572174;-0.820132 | x16y8=-0.0183804;0.999831 | 
x0y9=-0.924336;0.38158 | x1y9=0.614655;0.788796 | x2y9=-0.277556;0.96071 | x3y9=-0.872482;-0.488645 | x4y9=-0.365092;-0.930971 | x5y9=-0.999327;0.0366845 | x6y9=-0.395097;0.91864 | x7y9=0.641934;0.76676 | x8y9=0.112563;0.993645 | x9y9=0.416442;0.909162 | x10y9=-0.944532;-0.328419 | x11y9=0.818297;0.574795 | x12y9=0.820068;-0.572266 | x13y9=0.989151;0.146904 | x14y9=-0.733121;-0.680098 | x15y9=0.975435;-0.220288 | x16y9=0.13191;0.991262 | 
x0y10=-0.975526;-0.219883 | x1y10=-0.987184;-0.159589 | x2y10=0.778962;0.627072 | x3y10=-0.992031;-0.125996 | x4y10=0.731195;0.682168 | x5y10=-0.0133564;-0.999911 | x6y10=-0.632589;-0.774488 | x7y10=-0.235669;-0.971833 | x8y10=0.288247;0.957556 | x9y10=0.209861;-0.977731 | x10y10=-0.450652;0.8927 | x11y10=0.950831;0.309709 | x12y10=-0.347943;0.937516 | x13y10=-0.260379;-0.965506 | x14y10=0.922731;0.385445 | x15y10=-0.0483191;-0.998832 | x16y10=-0.762759;0.646683 | 
